deck,percentage
ancient-box,0.611620795
archaludon-ex,7.951070336
banette-gardevoir,0.611620795
ceruledge-ex,0.611620795
charizard-pidgeot,12.29357798
dragapult-dusknoir,0.611620795
dragapult-ex,0.611620795
dragapult-iron-thorns,7.706422018
dragapult-pidgeot,0.611620795
gardevoir-ex-sv,7.951070336
gholdengo-ex,7.217125382
iron-thorns-ex,0.611620795
klawf-terapagos,4.220183486
lost-zone-box,0.611620795
lugia-archeops,4.892966361
miraidon-ex,4.525993884
palkia-dusknoir,0.611620795
pidgeot-control,0.611620795
raging-bolt-ogerpon,8.868501529
regidrago-vstar,16.14678899
roaring-moon-ex,6.29969419
snorlax-stall,0.611620795
terapagos-dusknoir,5.198776758
